"post_code","grad"
"24220","Čantavir"
"85357","Čanj"
"18417","Čečina"
"21413","Čelarevo"
"21233","Čenej"
"23266","Čenta"
"21311","Čerević"
"23215","Čestereg"
"81258","Čevo"
"37208","Čitluk (kod Kruševca)"
"18232","Čitluk (kod Soko Banje)"
"23320","Čoka"
"25210","Čonoplja"
"22326","Čortanovci"
"36220","Čukojevac (kod Kraljeva)"
"34322","Čumić"
"21238","Čurug"
"81257","Ćeklići"
"37210","Ćićevac"
"35230","Ćuprija"
"81410","Danilovgrad"
"37206","Dvorane"
"26214","Debeljača"
"15214","Debrc"
"22441","Deč"
"38322","Dečane"
"26225","Deliblato"
"36307","Delimede"
"25254","Deronje"
"34321","Desimirovac"
"35213","Despotovac"
"21468","Despotovo"
"38243","Devet Jugovića"
"36305","Deževa"
"18320","Dimitrovgrad"
"14222","Divci"
"14204","Divčibare"
"31236","Divljaka"
"34204","Divostin"
"22232","Divoš"
"11272","Dobanovci"
"12224","Dobra"
"38315","Dobra Voda"
"18408","Dobri Do"
"26354","Dobrica"
"15235","Dobrić"
"22412","Dobrinci"
"38327","Dobroš"
"38159","Doganović"
"18314","Dolac"
"26227","Dolovo"
"18410","Doljevac"
"19213","Donja Bela Reka"
"15317","Donja Borina"
"81432","Donja Brezna"
"19352","Donja Kamenica"
"85332","Donja Lastva"
"11326","Donja Livadica"
"17544","Donja Ljubata"
"35255","Donja Mutnica"
"18325","Donja Nevlja"
"15323","Donja Orovica"
"18404","Donja Rečica"
"34314","Donja Šatornja"
"81427","Donje Crkvice"
"18414","Donje Crnatovo"
"15227","Donje Crniljevo"
"35258","Donje Vidovo"
"18254","Donje Medurovo"
"19345","Donje Zuniče"
"18242","Donji Dušnik"
"37258","Donji Krčin"
"19220","Donji Milanovac"
"17526","Donji Stajevac"
"85334","Donji Stoliv"
"25243","Doroslovo"
"14203","Dračić"
"38420","Dragaš"
"15311","Draginac"
"15226","Draginje"
"31317","Draglica"
"34231","Dragobraća"
"35272","Dragocvet"
"35262","Dragoševac"
"81216","Dragovića Polje"
"35265","Dragovo"
"11506","Draževac"
"18223","Draževac (kod Aleksinca)"
"38239","Drajkovce"
"15212","Drenovac"
"35257","Drenovac (kod Paraćina)"
"15324","Drlače"
"11432","Drugovac"
"15359","Dublje"
"12255","Duboka"
"26224","Dubovac"
"18406","Dubovo"
"12207","Dubravica (kod Požarevca)"
"11561","Dudovica"
"36312","Duga Poliana"
"19335","Dušanovac"
"17514","Džep"
"18405","Džigolj"
"38320","Đakovica"
"23335","Đala"
"38238","Đeneral Janković"
"85345","Đenovići"
"37202","Đunis"
"38330","Đurakovac"
"21239","Đurđevo"
"34215","Đurđevo (kod Kragujevca)"
"24213","Đurđin"
"23208","Elemir"
"22230","Erdevik"
"23203","Ečka"
"23264","Farkaždin"
"24323","Feketić"
"21410","Futog"
"18240","Gadžin Han"
"26223","Gaj"
"21432","Gajdobra"
"25282","Gakovo"
"18240","Gamzigradska Banja"
"21247","Gardinovci"
"17523","Glasina Okruglica"
"81416","Glava Zete"
"35261","Glavinci"
"37251","Globoder"
"26202","Glogonj"
"38313","Glogovac (Drenički)"
"35222","Glogovac (kod Jagodine)"
"21412","Gložan"
"15356","Glušci"
"38250","Gnjilane"
"11316","Golobok"
"12223","Golubac"
"22308","Golubinci"
"81304","Golubovci"
"32232","Goračići"
"38310","Goraždevac"
"32225","Goričani"
"81453","Gornja Bukovica"
"31214","Gornja Dobrinja"
"18425","Gornja Draguša"
"17538","Gornja Lisina"
"34206","Gornja Sabanta"
"14243","Gornja Toplica"
"18202","Gornja Toponica"
"32215","Gornja Trepča"
"34324","Gornja Trnava"
"32306","Gornji Banjani"
"18241","Gornji Barbeš"
"24406","Gornji Breg"
"16244","Gornji Brestova"
"18204","Gornji Matejevac"
"32300","Gornji Milanovac"
"38329","Gornji Streoc"
"37234","Gornji Stupanj"
"21237","Gospođinci"
"11508","Grabovac (kod Obrenovca)"
"22423","Grabovci"
"38205","Gračanica (Kosovska)"
"84215","Gradac (kod Pljevalja)"
"19205","Gradskovo"
"81420","Grahovo"
"16220","Grdelica"
"26347","Grebenac"
"18213","Gredetin"
"22213","Grgurevci"
"19342","Grlište"
"19341","Grljan"
"11306","Grocka"
"34202","Grošnica"
"34230","Gruža"
"34232","Guberevac"
"32230","Guča"
"26335","Gudurica"
"24312","Gunaroš"
"84326","Gusinje"
"18208","Guševac"
"26370","Hajdučica"
"24414","Hajdukovo"
"85340","Herceg-Novi"
"23235","Hetin"
"24410","Horgoš"
"22427","Hrtkovci"
"26207","ldvor"
"23323","Iđoš"
"85347","Igalo"
"26352","Ilandža"
"34203","Ilićevo"
"22320","Inđija"
"22250","llinci"
"22406","lrig"
"22407","Iriški Venac"
"38335","Istok"
"26233","Ivanovo"
"32250","Ivanjica"
"26343","Izbište"
"14226","Jabučje"
"26201","Jabuka"
"31306","Jabuka (kod Prijepolja)"
"19304","Jabukovac"
"35000","Jagodina-dostava"
"35001","Jagodina-pregradak"
"35002","Jagodina-VE"
"15308","Jadranska Lešnica"
"11412","Jagnjilo"
"11222","Jajinci"
"11276","Jakovo"
"22248","Jamena"
"26362","Janošik"
"19354","Janja (kod Kalne)"
"38233","Janjevo"
"22426","Jarak"
"23250","Jarkovac"
"34318","Jarmenovci"
"26346","Jasenovo"
"35241","Jasenovo (kod Despotovca)"
"31319","Jasenovo (kod Nove Varoši)"
"37252","Jasika"
"19256","Jasikovo"
"23230","Jaša Tomić"
"22409","Jazak"
"23327","Jazovo"
"18206","Jelašnica (kod Niša)"
"17513","Jelašnica (kod Vlad. Hana)"
"31215","Jelen Do"
"34309","Jelovik"
"26363","Jermenovci"
"32222","Ježevica"
"31213","Ježevica (Užička)"
"18234","Jošanica"
"36345","Jošanička Banja"
"35205","Jovac"
"18253","Jugbogdanovac"
"38327","Junik"
"11562","Junkovac"
"38237","Kačanik"
"26212","Kačarevo"
"21241","Kać"
"19353","Kalna"
"11130","Kaluđerica"
"31257","Kaluđerske Bare"
"32206","Kamenica (kod Čačka)"
"18324","Kamenica (kod Dimitrovgrada)"
"14252","Kamenica (Valjevska)"
"24420","Kanjiža"
"32234","Kaona"
"37256","Kaonik"
"21421","Karađorđevo"
"31204","Karan"
"25255","Karavukovo"
"22443","Karlovčić"
"18225","Katun"
"24104","Kelebija"
"38316","Kijevo"
"23300","Kikinda"
"21211","Kisač"
"19320","Kladovo"
"16236","Klajić"
"23211","Klek"
"22424","Klenak"
"17524","Klenike"
"15357","Klenje"
"12258","Klenje kod Golubca"
"12209","Kličevac"
"38317","Klina"
"17535","Klisura"
"19222","Klokočevac"
"38261","Klokot"
"25221","Kljajićevo"
"34240","Knić"
"23265","Knićanin"
"19350","Knjaževac"
"19316","Kobišnica"
"15220","Koceljeva"
"31318","Kokin Brod"
"11431","Kolari"
"81210","Kolašin"
"38264","Kololeč"
"25274","Kolut"
"14254","Komirić"
"23253","Konak"
"37254","Konjuh"
"36354","Kopaonik"
"19223","Koprivnica (Krajinska)"
"11415","Koraćica"
"17545","Korbevac"
"19329","Korbovo"
"15302","Korenita"
"18216","Korman"
"34224","Korman (Kragujevački)"
"16206","Kosančić"
"84223","Kosanica"
"31260","Kosjerić"
"38210","Kosovo Polje"
"38260","Kosovska Kamenica"
"38220","Kosovska Mitrovica"
"31254","Kostojevići"
"12208","Kostolac"
"85330","Kotor"
"32235","Kotraža"
"11409","Kovačevac"
"84216","Kovačevići"
"26210","Kovačica"
"21243","Kovilj"
"32257","Kovilje (kod lvanjice)"
"26220","Kovin"
"34000","Kragujevac"
"23231","Krajišnik"
"22411","Kraljevci"
"36000","Kraljevo"
"22325","Krčedin"
"31242","Kremna"
"19364","Krenta"
"12316","Krepoljin"
"17543","Kriva Feja"
"24341","Krivaja"
"19219","Krivelj"
"19375","Krivi Vir"
"22314","Krnješevci"
"11319","Krnjevo"
"38246","Krpimej"
"81422","Krstac"
"23224","Krstur"
"18307","Krupac"
"15314","Krupanj"
"35227","Krušar"
"31233","Kruščica"
"25225","Kruščić"
"22328","Krušedol"
"37000","Kruševac"
"18409","Kruševica"
"38246","Kruševo (kod Prizrena)"
"85369","Krute"
"21466","Kucura"
"12240","Kučevo"
"37255","Kukljin"
"22224","Kukujevci"
"25230","Kula"
"18214","Kulina"
"21472","KuIpin"
"23271","Kumane"
"37222","Kupci"
"22419","Kupinovo"
"25262","Kupusina"
"18430","Kuršumlija"
"18435","Kuršumlijska Banja"
"11425","Kusadak"
"32258","Kušići"
"35226","Kušiljevo"
"26336","Kuštilj"
"22223","Kuzmin"
"22221","Laćarak"
"37232","Laćisled"
"36204","Lađevci"
"14224","Lajkovac"
"25234","Lalić"
"18201","Lalinac"
"34223","Lapovo (Selo)"
"34220","Lapovo (Varošica)"
"85317","Lastva Grbaljska"
"11550","Lazarevac"
"23241","Lazarevo"
"12321","Laznica"
"16230","Lebane"
"16248","Lece"
"21207","Ledinci"
"14205","Lelić"
"19343","Lenovac"
"37224","Lepenac"
"17513","Lepenica"
"85333","Lepetane"
"38218","Leposavić"
"16000","Leskovac"
"14205","Leskovice"
"38219","Lešak"
"15307","Lešnica"
"22207","Ležimir"
"18245","Lički Hanovi"
"81204","Lijeva Rijeka"
"25232","Lipar"
"11310","Lipe"
"38232","Lipljan"
"15305","Lipolist"
"21248","Lok"
"26361","Lokve (kod Alibunara)"
"24322","Lovćenac"
"84305","Lozna"
"15300","Loznica"
"11317","Lozovik"
"19208","Lubnica"
"84306","Lubnice"
"32240","Lučani"
"21315","Lug"
"11321","Lugavčina"
"36306","Lukare"
"23261","Lukićevo"
"18437","Lukovo (kod Kuršumlije)"
"38244","Lužane (kod Podujeva)"
"34325","Lužnice"
"14240","Ljig"
"22255","Ljuba"
"18217","Ljuberađa"
"31209","Ljubiš"
"81254","Ljubotinj"
"15320","Ljubovija"
"22321","Ljukovo"
"31312","Mačkat"
"22202","Mačvanska Mitrovica"
"15211","Mačvanski Pričinović"
"21473","Maglić"
"38234","Magura"
"23333","Majdan"
"19250","Majdanpek"
"12221","Majilovac"
"15353","Majur"
"35270","Majur (kod Jagodine)"
"24217","Mala Bosna"
"11313","Mala Krsna"
"11261","Mala Moštanica"
"18423","Mala Plana (Toplička)"
"24416","Male Pijace"
"24309","Mali Beograd"
"24321","Mali Iđoš"
"19347","Mali Izvor"
"19209","Mali Jasenovac"
"11235","Mali Požarevac"
"22432","Mali Radinci"
"15318","Mali Zvornik"
"38415","Mališevo"
"12311","Malo Crniće"
"34212","Malo Krčmare"
"18415","Malošište"
"18207","Malča"
"38417","Mamuša"
"81215","Manastir Morača"
"22208","Manđelos"
"16201","Manojlovce"
"22327","Maradik"
"26364","Margita"
"11325","Markovac"
"32243","Markovica"
"22222","Martinci"
"24417","Martonoš"
"36201","Mataruška Banja"
"81217","Maleševo"
"16240","Medveda"
"35224","Medveđa (kod Despotovca)"
"37244","Medveđa (kod Trstenika)"
"23234","Međa"
"32255","Međurečje"
"23270","Melenci"
"12305","Melnica"
"11426","Meljak"
"18436","Merćez"
"18445","Merdare"
"18252","Merošina"
"15233","Metlić"
"19204","Metovnica"
"11312","Mihajlovac (kod Smedereva)"
"19322","Mihajlovac (Krajinski)"
"23202","Mihajlovo"
"35236","Mijatovac"
"37227","Milentija"
"21227","Mileševo"
"26373","Miletićevo"
"11318","Miloševac"
"35268","Miloševo (kod Jagodine)"
"38206","Miloševo"
"37246","Milutovac"
"19340","Minićevo"
"81418","Miolje Polje"
"14242","Mionica"
"18135","Miranovačka Kula"
"11567","Mirosaljci"
"16204","Miroševce"
"31251","Mitrovac"
"11400","Mladenovac"
"21422","Mladenovo"
"84205","Mojkovac"
"31243","Mokra Gora"
"19317","Mokranja"
"23305","Mokrin"
"24435","Mol"
"22256","Molovin"
"85338","Morinj"
"22245","Morović"
"21245","Mošorin"
"18229","Mozgovo"
"18251","Mramor (kod Niša)"
"26226","Mramorak"
"32210","Mrčajevci"
"17529","Muhovac"
"84323","Murino"
"38416","Mušutište"
"23206","Mužlja"
"21216","Nadalj"
"23311","Nakovo"
"34313","Natalinci"
"19300","Negotin (Krajina)"
"12242","Neresnica"
"21314","Neštin"
"23245","Neuzina"
"22422","Nikinci"
"26322","Nikolinci"
"81400","Nikšić"
"18000","Niš"
"18205","Niška Banja"
"22203","Noćaj"
"23218","Nova Crnja"
"25224","Nova Crvenka"
"21431","Nova Gajdobra"
"22330","Nova Pazova"
"31320","Nova Varoš"
"22304","Novi Banovci"
"23272","Novi Bečej"
"23236","Novi Itebej"
"22322","Novi Karlovci"
"23330","Novi Kneževac"
"23313","Novi Kozarci"
"26353","Novi Kozjak"
"36300","Novi Pazar"
"21000","Novi Sad"
"21123","Novi Sad-Adice"
"22323","Novi Slankamen"
"24223","Novi Žednik"
"38255","Novo Brdo"
"35271","Novo Lanište"
"23273","Novo Miloševo"
"24351","Novo Orahovo"
"18250","Novo Selo"
"24311","Njegoševo"
"84224","Njegovuđa"
"81255","Njeguši"
"38212","Obilić"
"11500","Obrenovac"
"37266","Obrež"
"22417","Obrež (Srem)"
"21423","Obrovac"
"32242","Ovčar Banja"
"22416","Ogar"
"26230","Omoljica"
"35267","Oparić"
"26204","Opovo"
"38430","Orahovac"
"16233","Orane"
"34308","Orašac (kod Aranđelovca)"
"12308","Oreškovica"
"15213","Orid"
"38245","Orlane"
"23263","Orlovat"
"24207","Orom"
"12317","Osanica"
"14244","Osečenica"
"14253","Osečina"
"11314","Osipaonica"
"38334","Osojane"
"23326","Ostojićevo"
"85306","Ostros"
"18312","Ostrovica"
"11251","Ostružnica"
"25250","Odžaci"
"84219","Odžak (kod Pljevalja)"
"19346","Ošljane"
"24342","Pačir"
"23325","Padej"
"37257","Padež"
"26215","Padina"
"11213","Padinska Skela"
"24413","Palić"
"18363","Palilula"
"14213","Pambukovica"
"26000","Pančevo"
"24330","Panonija"
"35250","Paraćin"
"21434","Parage"
"12376","Parodin (kod Žabara)"
"34305","Partizani"
"31315","Partizanske Vode"
"37201","Parunovac"
"38266","Pasjane"
"84213","Pavino Polje"
"26333","Pavliš"
"14207","Pecka"
"36207","Pečenog"
"16251","Pečenjevce"
"85356","Pečurice"
"38300","Peć"
"22410","Pećinci"
"18413","Pejkovac"
"85336","Perast"
"85314","Perazića Do"
"23260","Perlez"
"31256","Perućac"
"15304","Petlovača"
"84312","Petnjica"
"12300","Petrovac (na Mlavi)"
"85300","Petrovac (na moru)"
"21131","Petrovaradin"
"81425","Petrovići"
"18300","Pirot"
"21469","Pivnice"
"26360","Plandište"
"19207","Planinica"
"22420","Platičevo"
"84325","PIav"
"21428","Plavna"
"35212","Plažane"
"37238","Pleš"
"37237","Ploča"
"26229","Pločica"
"81435","Plužine"
"84210","Pljevlja"
"37243","Počekovina"
"14206","Poćuta"
"81000","Podgorica"
"38240","Podujevo"
"36215","Podunavci"
"19362","Podvis"
"19321","Podvrška"
"18326","Poganovo"
"37214","Pojate"
"12372","Poljana"
"31245","Ponikve"
"38324","Ponoševac"
"22428","Popinci"
"35254","Popovac (kod Paraćina)"
"12375","Porodin (kod Žabara)"
"35207","Potočac"
"38258","Požaranje"
"12000","Požarevac"
"31210","Požega (Užička)"
"19330","Prahovo"
"32308","Pranjani"
"85335","Prčanj"
"16222","Predejane"
"32212","Preljina"
"17523","Preševo"
"35264","Prevešt"
"22442","Prhovo"
"31330","Priboj"
"17511","Priboj (Vranjski)"
"14251","Pričević"
"25263","Prigrevica"
"31300","Prijepolje"
"32252","Prilički Kiseljak"
"38213","Prilužje"
"38000","Priština"
"22257","Privina Glava"
"38400","Prizren"
"15306","Prnjavor (Mačvanski)"
"18400","Prokuplje"
"11280","Progar"
"18433","Prolom"
"15215","Provo"
"11413","Pružatovac"
"18255","Pukovac"
"22404","Putinci"
"12254","Rabrovo"
"18440","Rača (kod Kuršumlije)"
"34210","Rača (Kragujevačka)"
"15321","Radalj"
"85318","Radanovići"
"22206","Radenković"
"21225","Radičević"
"11311","Radinac"
"14211","Radljevo"
"23221","Radojevo"
"85323","Radovići"
"19334","Radujevac"
"19314","Rajac"
"14202","Rajković"
"11327","Rakinac"
"38336","Rakoš"
"21299","Rakovac"
"11233","Ralja"
"38267","Ranilug"
"12304","Ranovac"
"25283","Rastina"
"12315","Rašanac"
"35206","Raševica"
"36350","Raška"
"37236","Rataje"
"11411","Ratari"
"36212","Ratina"
"25253","Ratkovo"
"18246","Ravna Dubrava"
"35235","Ravna Reka"
"22205","Ravnaje"
"31206","Ravni"
"23212","Ravni Topolovac"
"21471","Ravno Selo"
"37223","Razbojna"
"16252","Razgojna"
"31265","Ražana"
"37215","Ražanj"
"19214","Ragotina"
"38412","Rečane"
"35260","Rekovac"
"35237","Resavica"
"34225","Resnik (Kragujevački)"
"38229","Rezala"
"38328","Rznić"
"35220","Ribare (kod Jagodine)"
"15310","Ribari"
"36309","Ribarići"
"37205","Ribarska Banja"
"25280","Riđica"
"81253","Rijeka Crnojevića"
"11232","Ripanj"
"85337","Risan"
"17521","Ristovac"
"36205","Roćevci"
"11453","Rogača"
"31255","Rogačica"
"31237","Roge"
"19318","Rogljevo"
"38434","Rogovo"
"84310","Rožaje"
"31208","Rožanstvo"
"19257","Rudna Glava"
"36353","Rudnica"
"32213","Rudnik"
"38337","Rudnik (Kosovski)"
"36222","Rudno"
"11566","Rudovci"
"22400","Ruma"
"21201","Rumenka"
"16223","Ruplje"
"25233","Ruski Krstur"
"23314","Rusko Selo"
"11194","Rušanj"
"18224","Rutevac"
"23324","Sajan"
"26206","Sakule"
"19224","Salaš"
"22204","Salaš Noćajski"
"36202","Samaila"
"26350","Samoš"
"23331","Sanad"
"11315","Saraorci"
"16213","Sastav Reka"
"31335","Sastavci"
"19377","Savinac"
"21467","Savino Selo"
"31262","Seča Reka"
"23240","Sečanj"
"35211","Sedlare"
"26203","Sefkerin"
"21425","Selenča"
"26351","Seleuš"
"11407","Selevac"
"24400","Senta"
"35233","Senje"
"35234","Senjski Rudnik"
"31205","Sevojno"
"22440","Sibač"
"11454","Sibnica"
"18311","Sićevo"
"16246","Sijarinska Banja"
"35256","Sikirica"
"19225","Sikole"
"21433","Silbaš"
"12373","Simićevo"
"35203","Siokovac"
"19326","Sip"
"36208","Sirča"
"21214","Sirig"
"31207","Sirogojno"
"25223","Sivac"
"36310","Sjenica"
"11509","Skela"
"38325","Skivjane"
"11322","Skobaj"
"26228","Skorenovac"
"22318","Slankamenački Vinogradi"
"81415","Slap na Zeti"
"32224","Slatina (kod čačka)"
"14245","Slavkovica"
"38259","Slivoco"
"14223","Slovac"
"11300","Smederevo"
"11420","Smederevska Palanka"
"18323","Smilovci"
"12312","Smoljinac"
"38217","Sočanica"
"18230","Soko Banja"
"25000","Sombor"
"25264","Sonta"
"36308","Sopoćani"
"11450","Sopot"
"22243","Sot"
"81412","Spuž"
"38338","Srbica"
"21480","Srbobran"
"12253","Srednjevo"
"38406","Sredska"
"11253","Sremčica"
"21208","Sremska Kamenica"
"22000","Sremska Mitrovica"
"22247","Sremska Rača"
"21205","Sremski Karlovci"
"22413","Sremski Mihaljevci"
"23220","Srpska Crnja"
"38235","Srpski Babuš"
"23233","Srpski Itebej"
"23334","Srpski Krstur"
"25244","Srpski Miletić"
"23204","Stajićevo"
"37212","Stalać"
"25284","Stanišić"
"25240","Stapar"
"24340","Stara Moravica"
"22300","Stara Pazova"
"26232","Starčevo"
"22305","Stari Banovci"
"85354","Stari Bar"
"26371","Stari Lec"
"22329","Stari Slankamen"
"38226","Stari Trg (kod Zvečana)"
"24224","Stari Žednik"
"11324","Staro Selo (kod Velike Plane)"
"14255","Stave"
"22405","Stejanovci"
"35215","Stenjevac"
"21212","Stepanovićevo"
"11564","Stepojevac"
"34307","Stojnik"
"37242","Stopanja"
"34323","Stragari"
"26345","Straža (Banat)"
"18332","Strelac"
"38262","Strezovce"
"35269","Strižilo"
"11507","Stubline"
"36343","Studenica"
"24000","Subotica"
"35209","Subotica (kod Svilajnca)"
"18227","Subotinac"
"22414","Subotište"
"18322","Sukovo"
"19376","Sumrakovac"
"35228","Supska"
"11271","Surčin"
"22307","Surduk"
"17530","Surdulica"
"21313","Susek"
"23244","Sutjeska"
"85355","Sutomore"
"38410","Suva Reka"
"12322","Suvi Do"
"17508","Sveti Ilija"
"85315","Sveti Stefan"
"25211","Svetozar MiIetić"
"35210","Svilajnac"
"15221","Svileuva"
"25265","Svilojevo"
"16212","Svođe"
"18360","Svrljig"
"35259","Svojnovo"
"15000","Šabac"
"21244","Šajkaš"
"19373","Šarbanovac"
"22425","Šašinci"
"81450","Šavnik"
"11433","Šepšin"
"12309","Šetonje"
"22240","Šid"
"32311","Šilopaj"
"22310","Šimanovci"
"31244","Šljivovica"
"37239","Šljivovo"
"36311","Štavalj"
"38412","Štimlje"
"15354","Štitar"
"85367","Štoj"
"38236","Štrpce"
"19303","Štubik"
"84218","Šule"
"23254","Šurjan"
"32304","Takovo"
"23209","Taraš"
"24214","Tavankut"
"15234","Tekeriš"
"19325","Tekija"
"25222","Telečka"
"21235","Temerin"
"18355","Temska"
"18212","Tešica"
"21240","Titel"
"85320","Tivat"
"23222","Toba"
"23262","Tomaševac"
"84212","Tomaševo"
"34310","Topola"
"12226","Topolovnik"
"34243","Toponica"
"23214","Torda"
"24352","Tornjoš"
"21424","Tovariševo"
"32205","Trbušani"
"84322","Trepča (kod Andrijevice)"
"24426","Trešnjevac"
"35248","Trešnjevica"
"81260","Trešnjevo"
"17525","Trgovište"
"32221","Trnava (kod (čačka)"
"37235","Trnavci"
"19306","Trnjane"
"81437","Trsa"
"37240","Trstenik"
"15303","Tršić"
"81421","Trubjela"
"18211","Trupale"
"16247","Tulare"
"16231","Turekovac"
"38339","Turičevac"
"12257","Turija (kod Kučeva)"
"21215","Turija"
"36320","Tutin"
"81206","Tuzi"
"14210","Ub"
"81205","Ubli"
"36313","Ugao"
"32314","Ugrinovci"
"11277","Ugrinovci (kod Batajnice)"
"85360","Ulcinj"
"26330","Uljma"
"11430","Umčari"
"11260","Umka"
"38320","Uroševac"
"19305","Urovica"
"24437","Utrine"
"36342","Ušće"
"85359","Uvala Maslina"
"26216","Uzdin"
"15319","Uzovnica"
"31000","Užice"
"21426","Vajska"
"85368","Valdanas"
"14000","Valjevo-dostava"
"14001","Valjevo-pregradak"
"14002","Valjevo-VE"
"31263","Varda"
"15232","Varna (kod Šapca)"
"37260","Varvarin"
"19367","Vasilj"
"26337","Vatin"
"22241","Vašica"
"19328","Velesnica"
"37245","Velika Drenova"
"16221","Velika Grabovica"
"26366","Velika Greda"
"38429","Velika Hoča"
"11414","Velika Ivanča"
